Date,Value,Anomaly
197108,71.6,2.7
197109,54.6,-6.2
197110,45.4,-3.3
197111,37.5,-1
197112,29.2,-2.1
197201,27.7,-4.5
197202,33.1,-1.9
197203,42.8,1.1
197204,43.3,-4.5
197205,56.4,1
197206,61.4,-0.2
197207,66.8,-2.7
197208,69.5,0.6
197209,55.2,-5.6
197210,47.5,-1.2
197211,39.2,0.7
197212,26.4,-4.9
197301,28.5,-3.7
197302,36.2,1.2
197303,41.9,0.2
197304,46.3,-1.5
197305,55.7,0.3
197306,61.2,-0.4
197307,68.4,-1.1
197308,67.1,-1.8
197309,59.8,-1
197310,48.1,-0.6
197311,35.3,-3.2
197312,36.1,4.8
197401,24.7,-7.5
197402,37.7,2.7
197403,40.2,-1.5
197404,46.8,-1
197405,50.9,-4.5
197406,64,2.4
197407,66.8,-2.7
197408,67,-1.9
197409,60.5,-0.3
197410,49.5,0.8
197411,39.3,0.8
197412,34.3,3
197501,28.4,-3.8
197502,30.1,-4.9
197503,37.3,-4.4
197504,42.1,-5.7
197505,52.9,-2.5
197506,58.3,-3.3
197507,71.3,1.8
197508,63.6,-5.3
197509,60.2,-0.6
197510,47.8,-0.9
197511,36.7,-1.8
197512,34.2,2.9
197601,33.2,1
197602,34.5,-0.5
197603,36.4,-5.3
197604,45.9,-1.9
197605,54.7,-0.7
197606,57.6,-4
197607,67.2,-2.3
197608,64.8,-4.1
197609,62.8,2
197610,48.2,-0.5
197611,38.4,-0.1
197612,31.9,0.6
197701,24.1,-8.1
197702,37.9,2.9
197703,38.7,-3
197704,50.7,2.9
197705,51.3,-4.1
197706,65.4,3.8
197707,66.9,-2.6
197708,70.8,1.9
197709,56.2,-4.6
197710,47.6,-1.1
197711,36.2,-2.3
197712,32.4,1.1
197801,31.3,-0.9
197802,37.3,2.3
197803,43.7,2
197804,46.9,-0.9
197805,52,-3.4
197806,62.3,0.7
197807,67.8,-1.7
197808,65.5,-3.4
197809,57.7,-3.1
197810,48,-0.7
197811,31.1,-7.4
197812,23.9,-7.4
197901,13.5,-18.7
197902,32,-3
197903,42.4,0.7
197904,46.5,-1.3
197905,55.5,0.1
197906,62.1,0.5
197907,68.6,-0.9
197908,68.4,-0.5
197909,62.7,1.9
197910,51,2.3
197911,33.4,-5.1
197912,36.6,5.3
198001,23.8,-8.4
198002,36.2,1.2
198003,39.1,-2.6
198004,51.1,3.3
198005,54.3,-1.1
198006,57.4,-4.2
198007,67.2,-2.3
198008,62.5,-6.4
198009,59.9,-0.9
198010,49.3,0.6
198011,38.9,0.4
198012,36.2,4.9
198101,36.2,4
198102,36.6,1.6
198103,43.1,1.4
198104,46.7,-1.1
198105,53.2,-2.2
198106,57.3,-4.3
198107,65.3,-4.2
198108,70.1,1.2
198109,60,-0.8
198110,46.9,-1.8
198111,41.5,3
198112,33,1.7
198201,27.9,-4.3
198202,33.2,-1.8
198203,41,-0.7
198204,43.7,-4.1
198205,53.1,-2.3
198206,63.8,2.2
198207,66.9,-2.6
198208,67.5,-1.4
198209,59,-1.8
198210,47.3,-1.4
198211,34.2,-4.3
198212,30.8,-0.5
198301,37,4.8
198302,40.5,5.5
198303,44.4,2.7
198304,46,-1.8
198305,55.1,-0.3
198306,59.7,-1.9
198307,64.8,-4.7
198308,70.4,1.5
198309,55.6,-5.2
198310,49,0.3
198311,40.7,2.2
198312,22.3,-9
198401,31.9,-0.3
198402,36.4,1.4
198403,42.9,1.2
198404,44.9,-2.9
198405,50.9,-4.5
198406,58.5,-3.1
198407,67.6,-1.9
198408,68.5,-0.4
198409,56.6,-4.2
198410,44.8,-3.9
198411,37.9,-0.6
198412,25.9,-5.4
198501,22.7,-9.5
198502,27.8,-7.2
198503,38.7,-3
198504,49.2,1.4
198505,56.3,0.9
198506,61.4,-0.2
198507,73,3.5
198508,64.8,-4.1
198509,53.3,-7.5
198510,46.3,-2.4
198511,24.4,-14.1
198512,19.7,-11.6
198601,34.4,2.2
198602,35.6,0.6
198603,45.9,4.2
198604,46.3,-1.5
198605,55.6,0.2
198606,65.6,4
198607,63.7,-5.8
198608,71.5,2.6
198609,55.6,-5.2
198610,50.5,1.8
198611,37.4,-1.1
198612,30.7,-0.6
198701,28.7,-3.5
198702,37.6,2.6
198703,43.2,1.5
198704,52.8,5
198705,57.7,2.3
198706,64.4,2.8
198707,67.6,-1.9
198708,66.2,-2.7
198709,63,2.2
198710,50.2,1.5
198711,40.9,2.4
198712,29.6,-1.7
198801,28.8,-3.4
198802,37.7,2.7
198803,41.1,-0.6
198804,49.8,2
198805,54.8,-0.6
198806,61.5,-0.1
198807,67.3,-2.2
198808,67,-1.9
198809,59.3,-1.5
198810,55,6.3
198811,39.3,0.8
198812,30.4,-0.9
198901,31.7,-0.5
198902,24.2,-10.8
198903,40,-1.7
198904,50.2,2.4
198905,53.5,-1.9
198906,63.4,1.8
198907,67.5,-2
198908,64.8,-4.1
198909,60.8,0
198910,48.4,-0.3
198911,41,2.5
198912,32.5,1.2
199001,35.1,2.9
199002,32.8,-2.2
199003,42.6,0.9
199004,50.9,3.1
199005,53.6,-1.8
199006,61,-0.6
199007,70.4,0.9
199008,69,0.1
199009,65.1,4.3
199010,47.2,-1.5
199011,41,2.5
199012,24.1,-7.2
199101,28.4,-3.8
199102,41.9,6.9
